,GameDuration,Winner,firstTower,firstInhibitor,firstDragon,firstRiftHerald,baronKillsdiff,riftHeraldKillsdiff,dragonKillsdiff,FIRE_DRAGONdiff,EARTH_DRAGONdiff,firstBaron,FIRE_DRAGONSoul,AIR_DRAGONdiff,ELDER_DRAGONdiff,WATER_DRAGONdiff,EARTH_DRAGONSoul,WATER_DRAGONSoul,AIR_DRAGONSoul
3428582846,1722,-1,-1.0,-1.0,-1.0,-1.0,-1,-2,-4,-1.0,-1.0,-1.0,,-2.0,,,,,-1.0
3446146495,966,1,,,1.0,,0,0,2,1.0,,,,,,1.0,,,
3446408640,1930,-1,1.0,-1.0,1.0,1.0,-1,1,0,,1.0,-1.0,,1.0,,-2.0,,,
3362915775,1797,1,1.0,1.0,-1.0,1.0,1,2,2,1.0,,1.0,,-1.0,,2.0,,,
3403679167,940,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3430417859,972,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3377989060,1243,1,1.0,1.0,1.0,1.0,0,2,2,1.0,,,,1.0,,,,,
3367372228,2097,1,1.0,-1.0,1.0,1.0,2,0,2,1.0,2.0,1.0,,,,-1.0,,,
3300132292,1378,1,-1.0,,-1.0,1.0,0,2,1,,-1.0,,,1.0,,1.0,,,
3431204297,2170,1,-1.0,1.0,1.0,-1.0,-1,-1,3,3.0,-1.0,-1.0,1.0,,,1.0,,,
3427141065,2036,-1,-1.0,-1.0,-1.0,-1.0,-2,-1,-4,-1.0,-2.0,-1.0,,-1.0,,,-1.0,,
3437233614,1200,-1,-1.0,-1.0,-1.0,,-1,0,-2,,-1.0,-1.0,,-2.0,,1.0,,,
3439330771,545,-1,1.0,,1.0,,0,0,1,1.0,,,,,,,,,
3408004566,1628,-1,-1.0,-1.0,1.0,-1.0,-1,-1,0,-2.0,1.0,-1.0,,,,1.0,,,
3438544342,1513,1,1.0,1.0,-1.0,1.0,1,1,-1,-1.0,1.0,1.0,,-1.0,,,,,
3436053976,1750,1,-1.0,1.0,1.0,-1.0,1,0,4,1.0,,1.0,,2.0,,1.0,,,1.0
3414820313,1397,1,1.0,1.0,-1.0,1.0,0,2,1,,1.0,,,1.0,,-1.0,,,
3447850455,2101,-1,1.0,-1.0,-1.0,1.0,-2,2,-1,-1.0,,-1.0,,1.0,,-1.0,,,
3447326169,649,1,-1.0,,1.0,,0,0,1,,,,,1.0,,,,,
3427141091,1026,-1,-1.0,,-1.0,-1.0,0,-1,-1,,-1.0,,,,,,,,
3433039334,1055,1,1.0,1.0,1.0,1.0,0,1,1,,,,,1.0,,,,,
3448767976,976,1,1.0,,1.0,-1.0,0,-1,2,1.0,,,,,,1.0,,,
3424257514,1508,1,1.0,1.0,1.0,1.0,0,1,3,1.0,1.0,,,,,1.0,,,
3445360107,1169,-1,-1.0,-1.0,-1.0,-1.0,0,-1,-3,,-1.0,,,-1.0,,-1.0,,,
3412723180,1442,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3448505836,1685,1,1.0,1.0,-1.0,1.0,0,1,0,-1.0,-1.0,,,2.0,,,,,
3403154923,1121,-1,-1.0,-1.0,-1.0,-1.0,0,-2,-2,,,,,-1.0,,-1.0,,,
3397256690,1775,1,1.0,1.0,-1.0,1.0,1,0,0,-1.0,,1.0,,1.0,,0.0,,,
3443000819,1498,-1,1.0,-1.0,1.0,-1.0,0,-1,1,1.0,,,,1.0,,-1.0,,,
3424912882,1738,1,-1.0,1.0,1.0,,1,0,3,1.0,1.0,1.0,,1.0,,,,,
3429238261,1686,-1,-1.0,-1.0,1.0,1.0,-1,2,-2,-2.0,1.0,-1.0,,-1.0,,,,,
3438282233,1050,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3382314491,1720,-1,1.0,-1.0,1.0,1.0,-1,2,2,,1.0,-1.0,,1.0,,0.0,,,
3415213565,1217,1,1.0,,-1.0,,0,0,-2,-1.0,,,,-1.0,,,,,
3364619776,1508,1,1.0,1.0,-1.0,1.0,0,2,1,1.0,,,,-1.0,,1.0,,,
3436709377,1679,-1,1.0,-1.0,1.0,1.0,-1,2,0,1.0,,-1.0,,-1.0,,0.0,,,
3436840449,1083,-1,1.0,-1.0,,,0,0,0,,,,,,,,,,
3376809474,2222,1,1.0,-1.0,-1.0,1.0,-3,0,-1,,-1.0,-1.0,,-1.0,,1.0,,,
3444704768,1216,1,-1.0,1.0,1.0,,-1,0,4,1.0,,-1.0,,2.0,,1.0,,,1.0
3438282244,1071,-1,-1.0,-1.0,-1.0,,0,0,-1,-1.0,-1.0,,,,,1.0,,,
3445753350,2109,-1,-1.0,1.0,-1.0,1.0,0,2,-3,,-1.0,1.0,,1.0,,-3.0,,-1.0,
3401057798,1455,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3429893644,2012,-1,1.0,-1.0,-1.0,1.0,0,2,-4,-1.0,-2.0,,,,,-1.0,-1.0,,
3419145746,1162,-1,1.0,-1.0,,,0,0,0,,,,,,,,,,
3398960660,2391,-1,1.0,1.0,-1.0,1.0,1,1,-4,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,,,,
3440248343,1905,1,-1.0,-1.0,-1.0,1.0,0,0,-1,,-1.0,-1.0,,1.0,,-1.0,,,
3414427160,1709,-1,-1.0,-1.0,1.0,-1.0,-1,-2,0,1.0,-1.0,-1.0,,,,0.0,,,
3392275993,1965,-1,-1.0,-1.0,1.0,,-1,0,2,-1.0,,-1.0,,2.0,,1.0,,,
3446408730,1147,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3370124827,1173,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3399484957,1178,-1,-1.0,,1.0,-1.0,0,-2,0,1.0,-1.0,,,,,,,,
3366192670,2045,1,1.0,1.0,1.0,1.0,0,2,3,1.0,1.0,1.0,1.0,1.0,,,,,
3446408738,1647,-1,-1.0,-1.0,-1.0,,0,0,0,,0.0,,,1.0,,-1.0,,,
3425175075,1211,1,1.0,,-1.0,-1.0,0,0,-1,-1.0,,,,1.0,,-1.0,,,
3445884450,1232,1,1.0,,1.0,1.0,0,1,0,-1.0,,,,,,1.0,,,
3391489573,1517,-1,-1.0,-1.0,1.0,1.0,0,0,0,,1.0,,,-2.0,,1.0,,,
3397125667,1499,-1,1.0,,-1.0,1.0,-1,2,-4,-1.0,,-1.0,,-1.0,,-2.0,,-1.0,
3430417957,1372,-1,-1.0,,-1.0,-1.0,0,-2,-3,-1.0,,,,-1.0,,-1.0,,,
3430811178,1930,-1,-1.0,-1.0,-1.0,-1.0,-1,-2,-2,0.0,-1.0,-1.0,,,,-1.0,,,
3409839659,1831,-1,1.0,-1.0,1.0,1.0,-1,2,0,-2.0,1.0,-1.0,,1.0,,,,,
3421898283,1494,1,1.0,1.0,1.0,1.0,0,2,4,2.0,1.0,,1.0,,,1.0,,,
3435660842,1858,1,1.0,1.0,-1.0,1.0,1,2,-3,,-1.0,1.0,,-1.0,,-1.0,,,-1.0
3401451055,1664,-1,1.0,-1.0,-1.0,1.0,-1,2,-4,,-2.0,-1.0,,-1.0,,-1.0,-1.0,,
3443656241,917,-1,-1.0,-1.0,-1.0,,0,0,-2,,-1.0,,,-1.0,,,,,
3341289011,1309,-1,1.0,-1.0,,,0,0,0,,,,,,,,,,
3409970742,1791,-1,1.0,-1.0,-1.0,-1.0,-1,-1,-2,1.0,,-1.0,,-1.0,,-2.0,,,
3421111863,740,-1,-1.0,-1.0,1.0,,0,0,1,,,,,,,1.0,,,
3414427193,1776,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,2,,-1.0,-1.0,,2.0,,1.0,,,
3396994622,1305,1,1.0,1.0,1.0,1.0,0,2,3,1.0,,,,1.0,,1.0,,,
3424126530,1646,-1,-1.0,-1.0,1.0,-1.0,-1,-1,-1,1.0,,-1.0,,-1.0,,-1.0,,,
3448768066,878,1,1.0,1.0,1.0,,1,0,2,,1.0,1.0,,1.0,,,,,
3443131972,920,-1,-1.0,-1.0,-1.0,,0,0,1,1.0,-1.0,,,1.0,,,,,
3436840517,928,-1,-1.0,,-1.0,-1.0,0,-1,-2,-1.0,,,,,,-1.0,,,
3411150407,1328,-1,-1.0,,1.0,1.0,0,2,-1,1.0,-1.0,,,,,-1.0,,,
3437364807,1088,1,1.0,1.0,1.0,1.0,0,1,2,,1.0,,,,,1.0,,,
3386902089,1163,1,1.0,1.0,-1.0,1.0,0,2,1,1.0,1.0,,,-1.0,,,,,
3442476618,1382,1,1.0,,-1.0,1.0,0,2,1,1.0,,,,1.0,,-1.0,,,
3398960720,2231,-1,-1.0,1.0,1.0,-1.0,0,-1,0,,1.0,1.0,,1.0,,-2.0,,,
3388737109,1282,1,-1.0,1.0,,,0,0,0,,,,,,,,,,
3415344726,1919,1,1.0,1.0,1.0,-1.0,1,-1,3,,1.0,1.0,,1.0,,1.0,,,1.0
3442214487,970,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3419145816,1951,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,1,1.0,,-1.0,,1.0,,-1.0,,,
3400926806,1614,-1,-1.0,-1.0,1.0,-1.0,-1,-2,2,1.0,1.0,-1.0,,,,0.0,,,
3395421785,939,1,-1.0,-1.0,1.0,1.0,0,2,3,1.0,,,,1.0,,1.0,,,
3419539036,1899,1,1.0,1.0,1.0,1.0,-2,2,2,,1.0,-1.0,,1.0,,0.0,,,
3410232925,1436,-1,1.0,,1.0,1.0,-1,1,-1,,-1.0,-1.0,,1.0,,-1.0,,,
3440772700,1004,-1,1.0,-1.0,,,0,0,0,,,,,,,,,,
3415344744,948,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3385329257,1743,1,1.0,1.0,-1.0,1.0,0,1,0,-1.0,,-1.0,,0.0,,1.0,,,
3432121962,1109,1,1.0,1.0,1.0,,1,0,2,1.0,2.0,1.0,,-1.0,,,,,
3422422632,1864,-1,-1.0,1.0,1.0,-1.0,-1,0,0,1.0,0.0,-1.0,,-1.0,,,,,
3431073387,1165,-1,-1.0,-1.0,-1.0,,-1,0,-4,-1.0,-1.0,-1.0,,,,-2.0,,-1.0,
3436578410,2044,1,1.0,-1.0,,,0,0,0,,,,,,,,,,
3443132008,897,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3420325488,499,-1,-1.0,-1.0,1.0,,0,0,1,,1.0,,,,,,,,
3431990898,1390,1,1.0,,1.0,-1.0,1,0,3,1.0,,1.0,,1.0,,1.0,,,
3342599795,2049,1,1.0,1.0,1.0,1.0,1,1,5,1.0,2.0,1.0,,1.0,1.0,,1.0,,
3426485874,2625,1,-1.0,1.0,1.0,1.0,2,1,2,1.0,1.0,1.0,1.0,,-1.0,1.0,,,
3438151285,792,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3439986295,1733,-1,1.0,-1.0,-1.0,1.0,-1,0,-3,-1.0,,-1.0,,-1.0,,-1.0,,,
3433039480,805,1,1.0,1.0,,1.0,0,1,0,,,,,,,,,,
3436054140,1671,-1,1.0,-1.0,-1.0,,1,0,-3,-1.0,-1.0,1.0,-1.0,,,-1.0,,,
3439330940,1245,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3430942334,1294,1,1.0,1.0,1.0,1.0,0,2,3,1.0,1.0,,,,,1.0,,,
3435660927,943,-1,-1.0,,-1.0,-1.0,0,-1,-2,,,,,-1.0,,-1.0,,,
3438020223,1332,1,-1.0,,1.0,-1.0,1,-2,3,,1.0,1.0,,1.0,,1.0,,,
3410888319,2002,1,1.0,1.0,1.0,1.0,2,2,3,-1.0,,1.0,,1.0,,3.0,,1.0,
3435529854,1556,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3326477951,2258,1,1.0,1.0,1.0,-1.0,-1,-1,1,1.0,1.0,-1.0,,-1.0,,,,,
3434612356,1320,-1,1.0,-1.0,1.0,,1,0,2,0.0,1.0,1.0,,,,1.0,,,
3436840584,741,-1,-1.0,-1.0,-1.0,,0,0,0,,-1.0,,,,,1.0,,,
3436578441,1858,1,-1.0,1.0,-1.0,1.0,1,1,-4,-2.0,,1.0,-1.0,-1.0,,-1.0,,,
3446802058,2042,-1,1.0,-1.0,-1.0,1.0,-1,2,-3,-1.0,-1.0,-1.0,,,,-1.0,-1.0,,
3416393358,1620,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3361080977,1149,-1,-1.0,-1.0,-1.0,1.0,0,0,-2,,-1.0,,,,,-1.0,,,
3440641682,1434,1,1.0,,1.0,1.0,1,0,2,,,1.0,,1.0,,1.0,,,
3395552919,1204,-1,-1.0,-1.0,-1.0,,-1,0,-2,-1.0,,-1.0,,-1.0,,,,,
3435136663,2175,1,-1.0,1.0,-1.0,-1.0,2,0,0,-1.0,1.0,1.0,,0.0,,,,,
3446933145,1325,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3330016922,1711,-1,1.0,-1.0,1.0,1.0,-1,1,0,,0.0,-1.0,,1.0,,-1.0,,,
3339978395,2048,1,-1.0,1.0,1.0,1.0,1,2,0,1.0,0.0,1.0,,,,-1.0,,,
3347318428,917,-1,-1.0,,-1.0,-1.0,0,-1,-2,,-1.0,,,,,-1.0,,,
3383232157,2206,-1,1.0,1.0,1.0,1.0,0,2,3,2.0,,1.0,1.0,1.0,-1.0,1.0,,,
3426092702,1059,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3407480480,1607,-1,-1.0,-1.0,-1.0,-1.0,-1,-2,-2,,0.0,-1.0,,-1.0,,-1.0,,,
3427272353,1371,-1,-1.0,-1.0,1.0,,2,0,0,-1.0,,1.0,,1.0,,0.0,,,
3385460386,2245,-1,1.0,1.0,1.0,1.0,-3,2,0,,1.0,-1.0,,-2.0,,1.0,,,
3411674788,1603,1,1.0,1.0,-1.0,1.0,1,1,1,-1.0,,1.0,,1.0,,1.0,,,
3446015656,1450,-1,-1.0,,1.0,-1.0,0,0,0,,-1.0,,,0.0,,1.0,,,
3401189033,1629,1,1.0,1.0,1.0,1.0,1,0,4,2.0,1.0,1.0,1.0,,,1.0,,,
3415344810,1261,1,-1.0,,1.0,1.0,0,0,2,,,,,1.0,,1.0,,,
3429369514,1137,-1,1.0,,-1.0,,0,0,-2,,-1.0,,,,,-1.0,,,
3444180654,654,-1,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1.0,,,,,,,,,
3412723375,1529,1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3447064240,1179,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3425437363,1057,1,-1.0,1.0,-1.0,,0,0,1,1.0,,,,1.0,,-1.0,,,
3440641716,2346,-1,-1.0,1.0,1.0,1.0,-1,1,-2,,1.0,1.0,,-1.0,,-2.0,,-1.0,
3421374135,1025,1,-1.0,-1.0,-1.0,,-1,0,-1,,-1.0,-1.0,,1.0,,-1.0,,,
3434088120,1334,-1,1.0,-1.0,-1.0,,-1,0,0,2.0,-1.0,-1.0,,-1.0,,,,,
3447588539,734,1,-1.0,,-1.0,,0,0,0,,-1.0,,,1.0,,,,,
3420063420,939,-1,-1.0,,-1.0,-1.0,0,-1,-1,,,,,,,-1.0,,,
3395172199,1385,1,1.0,1.0,1.0,1.0,1,2,4,,1.0,1.0,,2.0,,1.0,,,1.0
3444836032,851,1,1.0,1.0,,1.0,0,1,0,,,,,,,,,,
3389130436,1686,-1,-1.0,-1.0,-1.0,-1.0,-1,-2,-4,-1.0,,-1.0,,-1.0,,-2.0,,-1.0,
3375761094,2224,-1,1.0,-1.0,-1.0,1.0,2,0,-3,,-1.0,1.0,,-3.0,,1.0,,,-1.0
3378382535,1806,1,1.0,1.0,1.0,1.0,1,2,2,,1.0,1.0,,1.0,,0.0,,,
3410757320,1946,-1,-1.0,-1.0,1.0,-1.0,1,-1,1,,-1.0,1.0,,1.0,,1.0,,,
3448112839,847,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3420063435,1168,1,1.0,1.0,-1.0,,1,0,3,3.0,-1.0,1.0,1.0,,,1.0,,,
3425044177,564,-1,1.0,,1.0,,0,0,1,,,,,1.0,,,,,
3410364113,1658,-1,1.0,-1.0,1.0,1.0,-1,2,0,1.0,-2.0,-1.0,,1.0,,,,,
3397519060,1309,-1,1.0,,1.0,1.0,-1,0,-1,-1.0,-1.0,-1.0,,1.0,,,,,
3414689493,855,1,1.0,1.0,1.0,1.0,0,1,2,1.0,1.0,,,,,,,,
3444573910,1185,1,1.0,1.0,1.0,1.0,0,2,2,1.0,,,,,,1.0,,,
3436054231,1983,1,-1.0,1.0,1.0,-1.0,2,-2,1,1.0,1.0,1.0,,,,-1.0,,,
3406038742,1576,1,-1.0,1.0,1.0,1.0,1,1,3,1.0,,1.0,,1.0,,1.0,,,
3404990168,1002,-1,1.0,1.0,,,0,0,0,,,,,,,,,,
3419932378,1362,1,1.0,1.0,-1.0,1.0,0,2,-1,1.0,-1.0,,,,,-1.0,,,
3402499803,1488,1,1.0,1.0,-1.0,1.0,0,2,1,1.0,,,,-1.0,,1.0,,,
3365930718,1293,-1,-1.0,-1.0,1.0,-1.0,0,-2,0,,1.0,,,-1.0,,,,,
3377596129,2261,1,-1.0,-1.0,1.0,-1.0,1,-2,2,2.0,-1.0,-1.0,1.0,1.0,,,,,
3432122085,1644,1,1.0,,1.0,1.0,1,1,2,-1.0,,1.0,,2.0,,1.0,,,
3427927783,2692,1,1.0,-1.0,1.0,-1.0,0,-1,1,1.0,0.0,1.0,,,-1.0,1.0,1.0,,
3447719656,2017,1,-1.0,1.0,-1.0,-1.0,1,-1,-2,,-1.0,1.0,,0.0,,-1.0,,,
3392014056,1861,1,1.0,1.0,-1.0,1.0,1,2,2,,1.0,1.0,,-1.0,,2.0,,,
3435136749,1853,1,1.0,1.0,1.0,-1.0,2,0,3,1.0,1.0,1.0,,1.0,,,,,1.0
3303016174,1968,1,1.0,1.0,1.0,1.0,1,1,-1,-1.0,-1.0,1.0,,1.0,,,,,
3422029550,1337,-1,1.0,-1.0,1.0,,-2,0,-2,1.0,-2.0,-1.0,,,,-1.0,-1.0,,
3427272433,1600,-1,1.0,-1.0,1.0,1.0,-1,2,0,0.0,,-1.0,,-1.0,,1.0,,,
3422291697,1140,1,1.0,1.0,1.0,,0,0,2,0.0,,,,1.0,,1.0,,,
3399616246,1764,-1,-1.0,1.0,1.0,1.0,0,1,-2,-1.0,,-1.0,,-2.0,,1.0,,,
3438937848,1480,-1,1.0,-1.0,,,0,0,0,,,,,,,,,,
3395159801,2254,1,1.0,1.0,1.0,1.0,0,1,4,1.0,1.0,-1.0,,2.0,,,,,1.0
3380479738,1487,1,1.0,1.0,-1.0,1.0,1,2,1,1.0,-1.0,1.0,,1.0,,,,,
3428321022,1219,1,1.0,,1.0,1.0,0,2,2,1.0,,,,1.0,,,,,
3406694142,1725,1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3424782080,1986,1,1.0,1.0,1.0,1.0,0,2,5,2.0,1.0,-1.0,1.0,,1.0,1.0,,,
3408922367,977,1,1.0,,1.0,1.0,0,1,2,,,,,1.0,,1.0,,,
3433826050,998,1,-1.0,,1.0,-1.0,0,-1,2,,1.0,,,1.0,,,,,
3440903934,1293,-1,1.0,-1.0,,,0,0,0,,,,,,,,,,
3401058053,1643,-1,1.0,-1.0,-1.0,1.0,-1,1,-4,-1.0,-2.0,-1.0,,,,-1.0,-1.0,,
3443918597,2094,-1,-1.0,-1.0,-1.0,-1.0,0,-1,-1,1.0,,-1.0,,-1.0,,-1.0,,,
3442607883,1651,1,-1.0,1.0,-1.0,-1.0,0,-1,-1,1.0,,,,-1.0,,-1.0,,,
3441821451,2121,1,-1.0,-1.0,-1.0,-1.0,-1,-1,1,-1.0,1.0,-1.0,,1.0,,,,,
3442083600,952,-1,1.0,,1.0,-1.0,0,-1,0,-1.0,1.0,,,,,,,,
3411937040,1220,-1,1.0,1.0,,,0,0,0,,,,,,,,,,
3402499859,1732,1,1.0,1.0,-1.0,1.0,-1,2,-4,-2.0,,-1.0,-1.0,-1.0,,-1.0,,,
3414689556,974,-1,-1.0,-1.0,-1.0,-1.0,0,-1,-2,-1.0,,,,,,-1.0,,,
3380610836,2184,1,-1.0,-1.0,-1.0,,2,0,-3,,-1.0,1.0,,-1.0,,-1.0,,-1.0,
3435136791,1007,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3440772889,1216,1,-1.0,1.0,,,0,0,0,,,,,,,,,,
3416917786,912,1,1.0,,1.0,1.0,0,1,2,,1.0,,,,,1.0,,,
3428058908,1400,1,1.0,1.0,1.0,1.0,0,2,2,,1.0,,,0.0,,1.0,,,
3406169887,1433,-1,-1.0,,-1.0,,0,0,-4,,-1.0,,,-1.0,,-2.0,,-1.0,
3442345760,1283,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3429238561,1406,1,1.0,1.0,1.0,1.0,1,2,1,1.0,,1.0,,-1.0,,1.0,,,
3388081953,1121,1,1.0,1.0,1.0,1.0,0,1,2,1.0,1.0,,,,,,,,
3416655654,944,-1,-1.0,,-1.0,1.0,0,1,-1,,,,,,,-1.0,,,
3440248614,1941,-1,-1.0,-1.0,-1.0,-1.0,-2,0,-5,,-1.0,-1.0,,-2.0,-1.0,-1.0,,,-1.0
3448112940,1574,1,1.0,1.0,-1.0,,2,0,2,,-1.0,1.0,,1.0,-1.0,3.0,,1.0,
3343779628,1526,1,1.0,1.0,-1.0,1.0,0,1,1,-1.0,,,,1.0,,1.0,,,
3422029616,1183,-1,1.0,-1.0,-1.0,,-1,0,-3,1.0,-3.0,-1.0,,,,-1.0,-1.0,,
3408004915,1338,1,1.0,1.0,1.0,1.0,1,2,1,1.0,1.0,1.0,,,,-1.0,,,
3420063539,1183,-1,1.0,1.0,-1.0,,-1,0,-2,1.0,-1.0,-1.0,,,,-2.0,,,
3396339510,2619,-1,1.0,1.0,-1.0,-1.0,1,-2,-2,,-1.0,1.0,,-1.0,,0.0,,-1.0,
3414820663,1357,1,1.0,1.0,-1.0,1.0,0,2,1,,-1.0,,,1.0,,1.0,,,
3408529211,1175,1,-1.0,1.0,1.0,-1.0,0,0,2,1.0,,,,,,1.0,,,
3447195452,1459,-1,1.0,1.0,,,0,0,0,,,,,,,,,,
3436054331,1819,1,1.0,1.0,1.0,-1.0,1,0,5,2.0,,1.0,,,1.0,1.0,,,
3439068990,1563,-1,1.0,-1.0,1.0,1.0,-1,1,0,1.0,1.0,-1.0,,-2.0,,,,,
3444574015,1844,-1,1.0,-1.0,-1.0,1.0,-2,1,-4,-2.0,-1.0,-1.0,-1.0,,,-1.0,,,
3430811458,1196,-1,-1.0,-1.0,-1.0,,0,0,-4,-1.0,,,,-2.0,,-1.0,,,-1.0
3447850819,1800,1,1.0,1.0,1.0,1.0,1,2,3,,1.0,1.0,,1.0,,1.0,1.0,,
3387950919,1119,1,1.0,,-1.0,1.0,0,1,-1,,1.0,,,-1.0,,-1.0,,,
3437365065,1465,1,-1.0,1.0,1.0,-1.0,0,-1,2,,1.0,,,,,1.0,,,
3409708874,1934,1,-1.0,1.0,-1.0,-1.0,0,-2,1,,-1.0,,,1.0,,1.0,,,
3429762891,1266,1,1.0,1.0,1.0,1.0,0,2,1,1.0,-1.0,,,,,1.0,,,
3397781326,1998,1,1.0,1.0,1.0,1.0,1,2,1,-1.0,,1.0,,1.0,,1.0,,,
3409446739,2166,-1,1.0,1.0,1.0,-1.0,0,0,0,0.0,-1.0,1.0,,,,1.0,,,
3440904020,1233,-1,1.0,-1.0,-1.0,,-2,0,-2,-1.0,-1.0,-1.0,,,,0.0,,,
3444967254,1619,-1,1.0,-1.0,1.0,1.0,1,0,0,0.0,-1.0,1.0,,1.0,,,,,
3386771289,1388,-1,1.0,-1.0,-1.0,1.0,-1,0,-4,-1.0,-1.0,-1.0,,,,-2.0,,-1.0,
3358066521,971,-1,-1.0,,,-1.0,0,-1,0,,,,,,,,,,
3325036379,1513,-1,1.0,-1.0,-1.0,1.0,-1,0,-3,-1.0,,-1.0,,-1.0,,-1.0,,,
3397257053,1261,-1,-1.0,-1.0,-1.0,-1.0,0,-2,-2,-1.0,,,,,,-1.0,,,
3411150686,915,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3337750371,1596,1,1.0,1.0,-1.0,1.0,1,2,2,,-1.0,1.0,,2.0,,1.0,,,
3436578661,1169,-1,1.0,,-1.0,,0,0,-2,-1.0,,,,-1.0,,,,,
3434874726,1832,-1,-1.0,-1.0,-1.0,-1.0,1,-2,-4,-1.0,,1.0,,-1.0,,-2.0,,-1.0,
3421374311,1176,-1,-1.0,-1.0,1.0,,-1,0,-1,,-1.0,-1.0,,-1.0,,1.0,,,
3445753704,999,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3431335786,1019,-1,1.0,-1.0,-1.0,,0,0,1,1.0,1.0,,,-1.0,,,,,
3421374315,954,1,1.0,1.0,1.0,1.0,0,2,1,1.0,,,,,,,,,
3424388972,821,-1,-1.0,,-1.0,,0,0,-2,-1.0,-1.0,,,,,,,,
3430287215,1667,-1,-1.0,-1.0,1.0,-1.0,1,-2,-1,-1.0,,1.0,,1.0,,-1.0,,,
3410757490,1473,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3442345844,1288,-1,-1.0,-1.0,1.0,-1.0,0,-1,0,-1.0,1.0,,,,,,,,
3394897781,1645,-1,-1.0,-1.0,1.0,-1.0,-1,0,-2,,-1.0,-1.0,,-2.0,,1.0,,,
3425175413,1749,1,-1.0,1.0,1.0,1.0,1,1,4,1.0,,1.0,,1.0,,2.0,,1.0,
3431204729,1005,-1,1.0,-1.0,1.0,,0,0,-1,1.0,,,,-1.0,,-1.0,,,
3409839994,990,-1,-1.0,,-1.0,-1.0,0,-1,-2,,-1.0,,,-1.0,,,,,
3447195516,2260,1,1.0,-1.0,-1.0,1.0,1,0,0,2.0,,1.0,,-1.0,,-1.0,,,
3399878526,2271,1,1.0,1.0,-1.0,1.0,-1,1,0,,2.0,1.0,,-1.0,,-1.0,,,
3440641921,1963,-1,1.0,-1.0,-1.0,1.0,-1,1,-2,-1.0,,-1.0,,-1.0,,0.0,,,
3439200129,1169,1,1.0,1.0,1.0,,-1,0,1,1.0,-1.0,-1.0,,,,1.0,,,
3442870148,957,-1,-1.0,-1.0,-1.0,,1,0,-4,-1.0,,1.0,,-2.0,,-1.0,,,-1.0
3366193030,2107,1,-1.0,1.0,1.0,-1.0,0,0,1,1.0,-1.0,-1.0,,1.0,,,,,
3422422922,1096,-1,-1.0,-1.0,1.0,,1,0,0,1.0,-2.0,1.0,,1.0,,,,,
3325429644,2244,1,1.0,-1.0,-1.0,1.0,1,2,-4,-1.0,,-1.0,,-1.0,0.0,-2.0,,-1.0,
3447064461,1530,1,1.0,1.0,1.0,1.0,0,1,3,1.0,1.0,,,,,1.0,,,
3431991185,1867,1,1.0,-1.0,-1.0,1.0,0,2,-1,-1.0,-1.0,-1.0,,,,1.0,,,
3436578705,1297,-1,1.0,1.0,1.0,,1,0,1,,-1.0,1.0,,1.0,,1.0,,,
3312715667,1560,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-4,,-1.0,-1.0,,-1.0,,-2.0,,-1.0,
3445360531,1331,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3431335829,1093,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3428059032,1330,-1,1.0,-1.0,-1.0,,-1,0,-4,,-1.0,-1.0,,-1.0,,-2.0,,-1.0,
3420850072,1432,1,1.0,,-1.0,1.0,0,2,1,1.0,1.0,,,-1.0,,,,,
3442214810,1118,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3437627290,1005,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3436185497,1515,1,1.0,1.0,-1.0,1.0,1,2,1,,1.0,1.0,,-1.0,,1.0,,,
